id,citation,link
"Hus_i_byn_Baggakoro_och_floden_Koro_vid_Baggakoro,_(2_fotos)_Lokal,_Baggakoro._Fotoggraf,_gm_-_SMVK_-_010652b","Kaudern, Walter. [Untitled landscape: river, shore, jungle]. December 1918. Photograph, 010652b. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113226.","https://commons.wikimedia.org/wiki/File:Hus_i_byn_Baggakoro_och_floden_Koro_vid_Baggakoro,_(2_fotos)_Lokal,_Baggakoro._Fotoggraf,_gm_-_SMVK_-_010652b.tif"
De_dödas_port_i_floden_Makaj_nedom_Kantewoe._Sulawesi._Indonesien_-_SMVK_-_010789,"Kaudern, Walter. ""'De dödas port' i floden Makaj nedom Kantewoe."" September 1918. Photograph, 010789. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1904085.",https://commons.wikimedia.org/wiki/File:De_d%C3%B6das_port_i_floden_Makaj_nedom_Kantewoe._Sulawesi._Indonesien_-_SMVK_-_010789.tif
Lindoesjön_sedd_från_Lindoeön_med_Ngilalaki_i_bakgrunden._Sulawesi._Indonesien_-_SMVK_-_000202,"Kaudern, Walter. ""Lindoesjön sedd från Lindoeön med Ngilalaki i bakgrunden."" 1918. Photograph, 000202. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113227.",https://commons.wikimedia.org/wiki/File:Lindoesj%C3%B6n_sedd_fr%C3%A5n_Lindoe%C3%B6n_med_Ngilalaki_i_bakgrunden._Sulawesi._Indonesien_-_SMVK_-_000202.tif
"Båtar_i_hamnen._Buton,_Sulawesi._Indonesien_-_SMVK_-_000219","Kaudern, Walter. ""Båtar i hamnen."" 1920. Photograph, 000219. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113622.","https://commons.wikimedia.org/wiki/File:B%C3%A5tar_i_hamnen._Buton,_Sulawesi._Indonesien_-_SMVK_-_000219.tif"
"Segelfartyg,_en_s.k._sopek._En_badjoresbåt,_utanför_Banggaai,_Ö._om_Celebes,_Poso_-_SMVK_-_000181","Kaudern, Walter. [Untitled: sailing vessel, boat]. 1920. Photograph, 000181. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113441.","https://commons.wikimedia.org/wiki/File:Segelfartyg,_en_s.k._sopek._En_badjoresb%C3%A5t,_utanf%C3%B6r_Banggaai,_%C3%96._om_Celebes,_Poso_-_SMVK_-_000181.tif"
Kanoter_vid_stranden._Sulawesi._Indonesien_-_SMVK_-_000294,"Kaudern, Walter. ""Kanoter vid stranden."" September 1917. Photograph, 000294. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113509.",https://commons.wikimedia.org/wiki/File:Kanoter_vid_stranden._Sulawesi._Indonesien_-_SMVK_-_000294.tif
"Det_inre_av_bytemplet_(lobo)._Tamoengkolowi,_huvudbyn_Tikala,_Paloe,_Mellan-Celebes._Sulawesi_-_SMVK_-_1993D","Kaudern, Walter. [Untitled: temple interior]. 1918. Photograph, 1993D. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113657.","https://commons.wikimedia.org/wiki/File:Det_inre_av_bytemplet_(lobo)._Tamoengkolowi,_huvudbyn_Tikala,_Paloe,_Mellan-Celebes._Sulawesi_-_SMVK_-_1993D.tif"
"Makarna_Kauderns_etnografiska_utställn._nyåret_1918._Menado,_Sulawesi,_Kabupaten_Bolaang_Mongondow_-_SMVK_-_022206","Kaudern, Walter. ""Makarna Kauderns etnografiska utställn. nyåret 1918."" January 1918. Photograph, 022206. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113530.","https://commons.wikimedia.org/wiki/File:Makarna_Kauderns_etnografiska_utst%C3%A4lln._ny%C3%A5ret_1918._Menado,_Sulawesi,_Kabupaten_Bolaang_Mongondow_-_SMVK_-_022206.tif"
"Makarna_Kauderns_etnografiska_utställn._nyåret_1918._Kabupaten_Bolaang_Mongondow,_Sulawesi,_Menado_-_SMVK_-_010678","Kaudern, Walter. ""Makarna Kauderns etnografiska utställning nyåret 1918."" January 1918. Photograph, 010678. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113527.","https://commons.wikimedia.org/wiki/File:Makarna_Kauderns_etnografiska_utst%C3%A4lln._ny%C3%A5ret_1918._Kabupaten_Bolaang_Mongondow,_Sulawesi,_Menado_-_SMVK_-_010678.tif"
"Coffea_robusta,_blommande_och_fruktbärande_grenar._Modajag._Indonesien_-_SMVK_-_022163","Kaudern, Walter. [Untitled: coffee bush, berry, flower, leaf]. September 1917. Photograph, 022163. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1319168.","https://commons.wikimedia.org/wiki/File:Coffea_robusta,_blommande_och_fruktb%C3%A4rande_grenar._Modajag._Indonesien_-_SMVK_-_022163.tif"
"Skolbyn_i_Lindoe._(Mellersta_byn)._Foto,_Missionär_O._Strandlund._Paloe._Indonesien_-_SMVK_-_010919","Strandlund, Olof. ""Skolbyn i Lindoe (Mellersta byn)."" 1923. Photograph, 010919. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1887669.","https://commons.wikimedia.org/wiki/File:Skolbyn_i_Lindoe._(Mellersta_byn)._Foto,_Mission%C3%A4r_O._Strandlund._Paloe._Indonesien_-_SMVK_-_010919.tif"
"Byscen._I_bakgrunden_bytemplet_(lobo)._Lokal,_Celebes._Mellan-Celebes,_Paloe._Kantewoe._Er_-_SMVK_-_013332","Strandlund, Olof. [Untitled: house, person, portrait, temple]. 1936. Photograph, 013332. Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1306130.","https://commons.wikimedia.org/wiki/File:Byscen._I_bakgrunden_bytemplet_(lobo)._Lokal,_Celebes._Mellan-Celebes,_Paloe._Kantewoe._Er_-_SMVK_-_013332.tif"
"Byn_Kantewoe_utsikt_mot_väster_från_stenen._Lokal,_Kantewoe,_Central-celebes._Fotograf,_Missionär_O_-_SMVK_-_010910","Strandlund, Olof. ""Byn Kantewoe utsikt mot väster från stenen."" 1935. Photograph, 010910. Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1304414.","https://commons.wikimedia.org/wiki/File:Byn_Kantewoe_utsikt_mot_v%C3%A4ster_fr%C3%A5n_stenen._Lokal,_Kantewoe,_Central-celebes._Fotograf,_Mission%C3%A4r_O_-_SMVK_-_010910.tif"
"Bolapapoe,_Koelawis_huvudby._(se_vidare_textkort)._Lokal,_Bolapapoe,_Koelawi,_Central-celebes_-_SMVK_-_010908","Strandlund, Olof. ""Bolapapoe, Koelawis huvudby."" 1935. Photograph, 010908. Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1304412.","https://commons.wikimedia.org/wiki/File:Bolapapoe,_Koelawis_huvudby._(se_vidare_textkort)._Lokal,_Bolapapoe,_Koelawi,_Central-celebes_-_SMVK_-_010908.tif"
